stage,L,Nv,q,W,alpha,bc,placement,n_real,seed_base,n_spacings,D_pooled,p_pooled,D_min,D_med,D_max,mean_abs_dR2,d_GUE,d_Pois,r_mean,D_excess,ks_pass,r2_pass,gue_closer,stab_pass,composite_ok,runtime_s
A,24,16,1.0,0.5,0.5,open,protocol,3,96,1029,0.0288649,0.365571,0.0380555,0.0474284,0.047737,0.098062,0.0947859,0.197001,0.618057,-0.00358511,True,True,True,True,True,0.208039
A,24,16,1.0,1.0,0.5,open,protocol,3,96,1029,0.0479098,0.0188455,0.0453358,0.0490268,0.0652208,0.119451,0.109554,0.209045,0.603652,0.0154598,True,False,True,True,False,0.20785
A,24,2,0.3,1.0,0.5,open,regular,3,96,1029,0.311855,2.93225e-86,0.313032,0.314225,0.316714,0.243547,0.232648,0.172176,0.423976,0.279405,False,False,False,True,False,0.206768
A,24,2,0.3,1.0,0.5,open,cluster,3,96,1029,0.45121,4.13718e-180,0.442552,0.458812,0.46059,0.282673,0.276937,0.189873,0.403274,0.41876,False,False,False,True,False,0.2056
A,24,2,1.0,1.0,0.5,open,regular,3,96,1029,0.0844305,1.02227e-06,0.0869207,0.0891841,0.0915502,0.135342,0.130244,0.204621,0.559255,0.0519805,True,False,True,True,False,0.208575
A,24,2,1.0,1.0,0.5,open,cluster,3,96,1029,0.172809,8.80249e-27,0.168203,0.170545,0.216298,0.179381,0.171164,0.183974,0.560044,0.140359,False,False,True,True,False,0.208461
A,24,4,0.3,1.0,0.5,open,regular,3,96,1029,0.268125,7.10567e-64,0.266834,0.26886,0.276871,0.187974,0.18258,0.151284,0.453189,0.235675,False,False,False,True,False,0.205632
A,24,4,0.3,1.0,0.5,open,cluster,3,96,1029,0.40278,1.31492e-143,0.353527,0.4363,0.448455,0.282055,0.275656,0.196018,0.423663,0.37033,False,False,False,True,False,0.203104
A,24,4,1.0,1.0,0.5,open,regular,3,96,1029,0.176878,4.88486e-28,0.178506,0.180039,0.184459,0.171836,0.163339,0.186924,0.507083,0.144428,False,False,True,True,False,0.207481
A,24,4,1.0,1.0,0.5,open,cluster,3,96,1029,0.162873,7.73239e-24,0.142263,0.162546,0.218395,0.162951,0.155202,0.180042,0.590423,0.130423,False,False,True,True,False,0.231195
A,24,8,0.3,1.0,0.5,open,regular,3,96,1029,0.142765,2.053e-18,0.149552,0.150824,0.151901,0.156435,0.151283,0.206096,0.572992,0.110315,False,False,True,True,False,0.207381
