s_AB,s_zeta
0.21844775,0.88525101
1.10339725,0.88544074
1.33319707,1.22326767
1.43623874,1.03486577
1.42311841,0.53461860
0.40509430,1.04005960
1.16489506,1.42677998
0.15601446,1.40560693
1.44616375,0.36659076
0.89194785,1.41675905
1.56885143,0.63016649
0.31015649,0.39746560
0.53200335,1.64101769
0.49007558,1.16704308
1.25763878,0.87445966
0.81660570,1.14604990
1.45853220,0.87536816
1.35114893,1.04141486
0.46703047,0.92892730
1.74673879,0.96587872
0.87879497,0.58648812
1.07910813,1.17735133
0.74570925,1.69224830
1.36816249,0.98868247
0.68678700,0.62525943
2.22675852,0.60910392
0.22413879,1.31394954
0.63467801,1.00190169
1.38653757,0.71797068
0.97079117,1.40514999
0.95821667,1.12945998
1.25077671,0.59399832
0.77460189,1.64975006
0.31834898,0.61969370
1.96823531,0.66876860
0.75214784,1.06923643
0.60987559,0.64931319
1.47051297,1.89247350
1.22915559,0.77737667
1.08179787,1.09412028
1.49234026,0.73751341
0.95864329,0.89624521
0.59710582,0.96963924
1.01530846,1.33613961
0.43697916,0.58189454
0.38996802,0.87280902
1.60055232,1.84945975
1.35838211,0.63532362
0.56675559,1.12106355
2.48901942,0.60695215
0.11749239,1.15836775
0.87871906,0.46525547
0.96867107,1.42254847
0.35907289,1.38424411
0.65235844,1.08270443
2.20074657,0.43960101
1.22882885,1.15778825
0.72669868,1.30149271
0.69406872,0.86876418
0.95699129,0.29340908
0.52562859,1.44375712
0.90068772,1.05108043
0.58419973,1.45639407
0.31433164,1.01093433
1.95882809,0.63642251
1.28760267,0.74498699
1.87851947,0.90189264
1.06065111,1.44607261
